Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	anterior/posterior pattern specification (GO:0009952)	1/63	0.1461007034145454	0.2645607332101227	0	0	6.54641211323239	12.591756250239603	HES4
GO_Biological_Process_2021	positive regulation of DNA metabolic process (GO:0051054)	1/63	0.1461007034145454	0.2645607332101227	0	0	6.54641211323239	12.591756250239603	NPAS2
GO_Biological_Process_2021	COPII vesicle coating (GO:0048208)	1/63	0.1461007034145454	0.2645607332101227	0	0	6.54641211323239	12.591756250239603	SCFD1
GO_Biological_Process_2021	vesicle coating (GO:0006901)	1/63	0.1461007034145454	0.2645607332101227	0	0	6.54641211323239	12.591756250239603	SCFD1
GO_Biological_Process_2021	vesicle targeting, rough ER to cis-Golgi (GO:0048207)	1/63	0.1461007034145454	0.2645607332101227	0	0	6.54641211323239	12.591756250239603	SCFD1
GO_Biological_Process_2021	diterpenoid metabolic process (GO:0016101)	1/64	0.1482421941802595	0.2663815673200833	0	0	6.442176870748299	12.297522293260638	OPN1SW
GO_Biological_Process_2021	plasma membrane organization (GO:0007009)	1/64	0.1482421941802595	0.2663815673200833	0	0	6.442176870748299	12.297522293260638	CXCR4
GO_Biological_Process_2021	cellular response to type I interferon (GO:0071357)	1/65	0.1503784214913892	0.268165321975139	0	0	6.341198979591836	12.01403781811508	IFITM2
GO_Biological_Process_2021	type I interferon signaling pathway (GO:0060337)	1/65	0.1503784214913892	0.268165321975139	0	0	6.341198979591836	12.01403781811508	IFITM2
GO_Biological_Process_2021	positive regulation of cell death (GO:0010942)	1/66	0.1525093979756266	0.2699128590587506	0	0	6.243328100470958	11.740759916332207	HP
GO_Biological_Process_2021	regulation of protein localization (GO:0032880)	1/66	0.1525093979756266	0.2699128590587506	0	0	6.243328100470958	11.740759916332207	CSNK1E
GO_Biological_Process_2021	positive regulation of catabolic process (GO:0009896)	1/67	0.1546351363099914	0.270611488542485	0	0	6.148423005565863	11.477180657220888	TIPARP
GO_Biological_Process_2021	regulation of viral genome replication (GO:0045069)	1/67	0.1546351363099914	0.270611488542485	0	0	6.148423005565863	11.477180657220888	IFITM2
GO_Biological_Process_2021	vascular endothelial growth factor receptor signaling pathway (GO:0048010)	1/67	0.1546351363099914	0.270611488542485	0	0	6.148423005565863	11.477180657220888	CRK
GO_Biological_Process_2021	canonical Wnt signaling pathway (GO:0060070)	1/68	0.1567556490806558	0.272563579948775	0	0	6.056350898568383	11.222824361971773	CSNK1E
GO_Biological_Process_2021	negative regulation of cellular catabolic process (GO:0031330)	1/69	0.158870948881139	0.272563579948775	0	0	5.966986794717887	10.977245117600177	HP
GO_Biological_Process_2021	cell chemotaxis (GO:0060326)	1/69	0.158870948881139	0.272563579948775	0	0	5.966986794717887	10.977245117600177	CXCR4
GO_Biological_Process_2021	cellular response to decreased oxygen levels (GO:0036294)	1/69	0.158870948881139	0.272563579948775	0	0	5.966986794717887	10.977245117600177	ZFP36L1
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	1/70	0.1609810482853106	0.272563579948775	0	0	5.880212954747116	10.740024519792764	NDUFS5
GO_Biological_Process_2021	positive regulation of cell-substrate adhesion (GO:0010811)	1/70	0.1609810482853106	0.272563579948775	0	0	5.880212954747116	10.740024519792764	CRK
GO_Biological_Process_2021	cellular response to light stimulus (GO:0071482)	1/70	0.1609810482853106	0.272563579948775	0	0	5.880212954747116	10.740024519792764	OPN1SW
