Source_Node,Target_Node,Weight,Direction_Confidence
HBA2,HBA1,0.0272018145769834,0.1591726268196099
NR4A3,TIPARP,0.0270347725600004,0.6730821518706732
BTG2,PCK1,0.0270259398967027,0.3631139324984614
HBEGF,EGR3,0.0269543211907148,0.0300774106746243
NAIP,SMN2,0.0269277337938547,0.019243758075769
BTBD2,TSSC4,0.0269080847501754,0.8627614291490346
AL109923.1,KIAA1107,0.0265482980757951,0.0710032313785143
USP9Y,TXLNG,0.0264319609850645,0.1420161443717833
DDX3Y,ZFX,0.0263839624822139,0.5621316907868616
FOSB,EGR1,0.0263688936829566,0.0702492509514397
EIF1AY,DDX3X,0.0263557247817516,0.3084681372716098
RPS4Y1,USP9X,0.0263485107570886,0.41034130220948
NEFL,POU4F1,0.0261799730360507,0.3071802105792163
PPP1R3B,FUT11,0.0261539239436388,0.1882778452944542
HILPDA,ADM,0.0261313635855913,0.4699193903542542
SCARB1,CDK18,0.0260772127658128,0.4152862287779702
AC096949.1,AC090094.1,0.0260590203106403,0.4538677672859634
BSG,UBXN6,0.0260038971900939,0.9685168495921164
SLC17A6,NRN1,0.025988096371293,0.0760233913602867
ABCA3,CLUH,0.0259843822568655,0.9054966667327796
NACAD,ELFN2,0.0259141474962234,0.9861906894012444
IDH1,ERN1,0.0259137339890003,0.2203884957376311
U2AF1,U2AF1L5,0.0257374364882707,0.0678867607372435
RPL35,EEF1D,0.0257227979600429,0.9179933308687456
ALDOA,NCKIPSD,0.0257024858146905,0.6425239497912468
PPP1R3B,ERO1A,0.0256103128194808,0.5486909324950772
SBF1,SH3GL1,0.02560605853796,0.8263818816057131
NEFM,NEFL,0.0255488138645887,0.0208072111041065
AC096949.1,AL109923.1,0.0255485214293003,0.3006970039103182
C1R,SERPING1,0.0255428049713373,0.4558130520899721
CHRND,PRSS56,0.0254663564264774,0.3621707541219154
OVCH2,CYB5R2,0.0254077799618244,0.0183407673129845
NDUFA13,PRDX2,0.0251670535653829,0.8803196695453146
SV2C,AHNAK2,0.0251362714916467,0.2490961074017997
KLF10,MAFF,0.0250429436564445,0.3439290676166829
AES,GNB2,0.0250416733324527,0.8434078446063552
NEFH,NEFM,0.0250373668968677,0.0716526475900067
ARC,FOSB,0.0249920263886451,0.4131089777169782
DDX3X,TMSB4Y,0.0248970203101634,0.0821201886912234
B3GAT2,FRMPD4,0.0248408950865268,0.0614851076648114
IL1RL1,ADAMTS4,0.0248231925070285,0.5028814385360312
BTG2,NR4A1,0.0248064324259758,0.3089832677847837
FOS,NR4A1,0.0247758980840444,0.2650431127839939
FOSB,DUSP1,0.0247626155614852,0.4231634856867593
EGR3,EGR2,0.0247411224991083,0.0369022616850248
PCK1,RGS2,0.0247401930391788,0.4884196014338575
TMSB4Y,TXLNG,0.0247261207550764,0.3724194477630607
ARHGEF17,PALM,0.0247230064123868,0.4200962403937981
U2AF2,SLC27A1,0.0246946550905704,0.9103981105098332
NLGN4Y,ZFX,0.0246919933706522,0.2051124594114424
PCNX3,PIK3R2,0.0246056392788887,0.5979879221547638
HILPDA,SLC2A3,0.0245574954897165,0.2760406691885178
PCDH11Y,DDX3X,0.0245573911815881,0.0556483917065489
SERPINE1,ADAMTS9,0.0245046149939298,0.433772218810445
VEGFA,SLC2A3,0.0244409441947937,0.5621609761254935
BNIP3,AK4,0.0243593733757734,0.0080520283961406
FHDC1,RBM3,0.0243303589522838,0.1749384062411563
MT1F,MT1G,0.024282056838274,0.195610982462446
AC090094.1,COMMD3-BMI1,0.0242389850318431,0.2087145705568157
SV2C,NEFM,0.0242031309753656,0.1366588339204048
ZFY,USP9X,0.0241328962147235,0.3156511844963378
ZNF358,UBXN6,0.0239838007837533,0.8736734513285869
BTBD2,NPHP4,0.0238512121140956,0.9935310730414184
HSPA13,ACTR2,0.023850817233324,0.6872374389003398
ASPSCR1,OTUB1,0.0237449090927839,0.992214754395452
BNIP3,FAM162A,0.023737384006381,0.59919083689365
FRS2,NAA30,0.0237312372773885,0.517412214482613
FIS1,SSNA1,0.0236638877540826,0.9729210866493426
